album,track_number,name,uri,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,popularity,album_order,release_date,plays,relative plays per album
The National,1,Beautiful Head,spotify:track:5qjxbESLSYtV20JKeiwsaZ,188400,0.547,0.564,0.667,0.043,0.0959,-8.774,0.0529,148.091,0.546,4,4,27,0,2001-07-03,1281845,9.490053746703529
The National,2,Cold Girl Fever,spotify:track:77JYrFDjiqBSUQ6qMLfhaL,246000,0.756,0.788,0.392,0.759,0.107,-11.739,0.0432,118.013,0.573,9,4,40,0,2001-07-03,3088937,22.868738537171936
The National,3,The Perfect Song,spotify:track:1cZnwa4gquHoJ6jTIAYAkg,195200,0.0268,0.541,0.521,0.281,0.0913,-9.377,0.0313,125.675,0.48,7,4,27,0,2001-07-03,1218489,9.021001837013864
The National,4,American Mary,spotify:track:1IGBD3TlzViHUHb1FKeEHz,242893,0.563,0.642,0.318,0.00643,0.0939,-10.876,0.0268,135.867,0.336,7,4,26,0,2001-07-03,1157692,8.570895312716203
The National,5,Son,spotify:track:2qNifuc2Z75HavDfBpCuGf,319733,0.0532,0.762,0.48,0.693,0.08,-10.709,0.0303,125.025,0.305,0,4,25,0,2001-07-03,997193,7.382651698010705
The National,6,Pay For Me,spotify:track:6IEEpgL2pWzEqeJU7DdUD5,202640,0.000312,0.645,0.72,0.116,0.0723,-8.094,0.0361,122.244,0.388,7,4,25,0,2001-07-03,912774,6.757661276202323
The National,7,Bitters & Absolut,spotify:track:4GbOdlWpwsQxoUboLNqshV,240026,0.405,0.725,0.455,0.516,0.309,-13.362,0.0357,123.799,0.352,7,4,25,0,2001-07-03,934952,6.921854616266364
The National,8,John's Star,spotify:track:6B0vA1VobjedKbjSkTY1tk,184866,0.0302,0.578,0.689,0.0394,0.111,-8.34,0.0303,130.267,0.751,1,4,23,0,2001-07-03,751091,5.5606519966651975
The National,9,Watching You Well,spotify:track:0hdDBAtFnekO78kmOGlcrc,182440,0.307,0.563,0.334,0.172,0.243,-11.833,0.0253,79.102,0.265,0,4,23,0,2001-07-03,741234,5.4876763562552755
The National,10,Theory of the Crows,spotify:track:6DrpiNrqgOgdcyNa51CqVd,276600,0.0026,0.459,0.426,0.446,0.108,-8.983,0.0281,135.151,0.172,2,3,24,0,2001-07-03,807360,5.977235775728392
The National,11,29 Years,spotify:track:3IifrPET3e7aWXT3FN4Ij6,170493,0.923,0.525,0.306,0.191,0.368,-21.498,0.206,135.688,0.0854,0,1,25,0,2001-07-03,864195,6.3980098979458955
The National,12,Anna Freud,spotify:track:7JlJGvQ4X3wFl5wn54U5hC,187266,0.457,0.854,0.267,0.404,0.11,-12.181,0.0446,100.919,0.55,9,4,23,0,2001-07-03,751485,5.563568949320317
