,album,track_number,name,uri,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,popularity,artist
0,Sad Songs for Dirty Lovers (2021 Remaster),1,Cardinal Song - 2021 Remaster,spotify:track:1kje7rdBRPVLdJjhurLSZw,378840,0.798,0.424,0.337,0.62,0.114,-11.554,0.0345,119.901,0.108,2,4,38,The National
1,Sad Songs for Dirty Lovers (2021 Remaster),2,Slipping Husband - 2021 Remaster,spotify:track:09b8mr09RVCoj327bBpaPS,202626,0.029,0.629,0.615,0.259,0.189,-7.732,0.0318,129.977,0.452,9,4,37,The National
2,Sad Songs for Dirty Lovers (2021 Remaster),3,90-Mile Water Wall - 2021 Remaster,spotify:track:70YTeIt85PXWV2pJyBTGdN,224213,0.785,0.479,0.441,0.126,0.11,-8.938,0.027,103.002,0.11,4,4,39,The National
3,Sad Songs for Dirty Lovers (2021 Remaster),4,It Never Happened - 2021 Remaster,spotify:track:3atyVUHESb82hi3d8VKEqg,277106,0.0732,0.403,0.618,0.587,0.279,-7.978,0.0278,133.113,0.22,7,4,35,The National
4,Sad Songs for Dirty Lovers (2021 Remaster),5,Murder Me Rachael - 2021 Remaster,spotify:track:0e6Ndkr4xwChsbOIjKUgUj,225720,0.00018,0.312,0.822,0.679,0.214,-4.759,0.0494,148.926,0.266,7,4,35,The National
5,Sad Songs for Dirty Lovers (2021 Remaster),6,Thirsty - 2021 Remaster,spotify:track:3DweEUyYOVKRpO7uuNkgRq,228160,0.162,0.542,0.4,0.326,0.261,-7.967,0.0262,130.86,0.473,7,4,34,The National
6,Sad Songs for Dirty Lovers (2021 Remaster),7,Available - 2021 Remaster,spotify:track:51vJbRDi3sz96dY3qUjSKJ,199786,0.000202,0.33,0.933,0.905,0.246,-4.044,0.0576,143.455,0.244,1,4,38,The National
7,Sad Songs for Dirty Lovers (2021 Remaster),8,Sugar Wife - 2021 Remaster,spotify:track:0di1Z1ucLBhrJxIib52b9O,141480,0.281,0.703,0.518,0.576,0.0933,-8.764,0.0331,110.007,0.801,7,4,33,The National
8,Sad Songs for Dirty Lovers (2021 Remaster),9,Trophy Wife - 2021 Remaster,spotify:track:5uAWGVsBpN2KGvAYhHuwEH,212840,0.108,0.653,0.671,0.291,0.104,-7.91,0.027,123.532,0.899,0,4,33,The National
9,Sad Songs for Dirty Lovers (2021 Remaster),10,Fashion Coat - 2021 Remaster,spotify:track:37QqI1M6gWPBTTrhtPL9fb,122573,0.112,0.666,0.742,0.000588,0.195,-6.216,0.0581,125.479,0.666,4,4,33,The National
10,Sad Songs for Dirty Lovers (2021 Remaster),11,Patterns of Fairytales - 2021 Remaster,spotify:track:0MHXYc9ShBjIVUi1C9x2Vz,223893,0.714,0.602,0.496,0.795,0.134,-9.375,0.0333,155.069,0.303,0,4,32,The National
11,Sad Songs for Dirty Lovers (2021 Remaster),12,Lucky You - 2021 Remaster,spotify:track:66FaKo5bbQwGAHaHGm6TFK,262786,0.698,0.609,0.518,0.836,0.116,-9.209,0.0265,138.022,0.112,4,4,34,The National
12,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),1,Nobody Else Will Be There - Live at Berkeley 9/24/18,spotify:track:35gDrP7qmcv8YDjKwc19P5,312006,0.106,0.544,0.514,0.858,0.965,-13.652,0.0416,99.641,0.342,9,4,28,The National
13,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),2,The System Only Dreams in Total Darkness - Live at Berkeley 9/24/18,spotify:track:2qtwiBxJnLeOGBac6rjnvs,257416,0.0335,0.429,0.751,0.669,0.897,-12.217,0.0645,114.031,0.327,1,4,27,The National
14,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),3,Walk It Back - Live at Berkeley 9/24/18,spotify:track:48nlallfQIA6KMOqlwGehP,365737,0.0154,0.578,0.385,0.622,0.92,-14.585,0.0362,126.716,0.172,6,4,25,The National
15,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),4,Guilty Party - Live at Berkeley 9/24/18,spotify:track:5JOD2hYjRf9jIMC2xBZBG6,384058,0.00295,0.41,0.681,0.762,0.563,-11.946,0.061,140.314,0.351,11,4,25,The National
16,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),5,Don't Swallow the Cap - Live at Berkeley 9/24/18,spotify:track:5QItlftQfFqLYNCAYxrZxN,332149,0.0168,0.224,0.633,0.372,0.587,-11.359,0.0767,87.312,0.326,5,4,25,The National
17,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),6,Bloodbuzz Ohio - Live at Berkeley 9/24/18,spotify:track:6OhVT605J8dvXURaNCOgOw,403083,0.0116,0.247,0.544,0.673,0.755,-13.181,0.0576,106.062,0.07,2,5,25,The National
18,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),7,I Need My Girl - Live at Berkeley 9/24/18,spotify:track:7AF9LGQvbaOEmoBEq7eZJC,296475,0.0219,0.365,0.443,0.00037,0.422,-16.276,0.147,123.442,0.214,0,4,24,The National
19,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),8,Green Gloves - Live at Berkeley 9/24/18,spotify:track:5dCem4RwGzh7dGGI6mtFmt,258992,0.131,0.432,0.249,0.304,0.407,-18.974,0.0557,73.469,0.132,2,4,23,The National
20,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),9,Brainy - Live at Berkeley 9/24/18,spotify:track:6gr8gFitiK7m9NH4EbEmjA,262678,0.0122,0.523,0.559,0.726,0.976,-14.232,0.0829,85.593,0.171,11,4,22,The National
21,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),10,Slow Show - Live at Berkeley 9/24/18,spotify:track:59qKasLoQqnX4FIEPwN2d9,260144,0.00165,0.306,0.546,0.566,0.473,-13.4,0.0415,150.307,0.283,4,4,23,The National
22,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),11,All The Wine - Live at Berkeley 9/24/18,spotify:track:6xFGXkv8v1hbTLIJOlswlx,330698,0.00161,0.482,0.612,0.463,0.714,-13.855,0.061,124.661,0.299,7,4,22,The National
23,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),12,I'll Still Destroy You - Live at Berkeley 9/24/18,spotify:track:3XnxVbHPCyEBgBhlbPhCAw,339864,0.0373,0.413,0.548,0.63,0.96,-13.715,0.0611,145.937,0.35,10,4,21,The National
24,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),13,Dark Side of the Gym - Live at Berkeley 9/24/18,spotify:track:4sNKXGE5oqVnmy8lPvfvPm,279754,0.00242,0.491,0.406,0.0914,0.62,-14.682,0.0382,110.748,0.353,7,3,21,The National
25,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),14,Day I Die - Live at Berkeley 9/24/18,spotify:track:6EFvFq3uj82a9DFxjbBDCb,332225,0.0256,0.324,0.717,0.372,0.886,-12.499,0.156,147.271,0.267,2,4,21,The National
26,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),15,Carin at the Liquor Store - Live at Berkeley 9/24/18,spotify:track:6ODMPMCLAqF5iKY7WjIoqz,222923,0.0819,0.447,0.311,0.604,0.826,-16.947,0.0342,97.636,0.238,10,3,21,The National
27,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),16,Graceless - Live at Berkeley 9/24/18,spotify:track:529IrJadJ2EK5mgUkHXksW,293662,0.0843,0.349,0.67,0.882,0.751,-11.948,0.0414,86.996,0.262,9,4,21,The National
28,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),17,Rylan - Live at Berkeley 9/24/18,spotify:track:7IDWn5niELi5PDjexg6vkT,406146,0.02,0.543,0.563,0.112,0.94,-14.749,0.109,144.49,0.485,1,4,21,The National
29,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),18,Fake Empire - Live at Berkeley 9/24/18,spotify:track:6sOMSNA0ufe4rDoT6a78xr,235675,0.00179,0.279,0.636,0.434,0.945,-13.581,0.073,104.945,0.164,0,3,21,The National
30,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),19,Light Years - Live at Berkeley 9/24/18,spotify:track:32f4ArO6yP85eeidqojYjP,322038,0.113,0.337,0.341,0.238,0.828,-20.224,0.0978,131.499,0.287,4,4,20,The National
31,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),20,Mr. November - Live at Berkeley 9/24/18,spotify:track:2QOs9BfDqLQ6oSppZwEKtd,282203,0.0013,0.273,0.626,0.3,0.0931,-12.672,0.0592,74.601,0.0946,7,4,20,The National
32,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),21,Terrible Love - Live at Berkeley 9/24/18,spotify:track:09OLqSW7y9KyzvawSKnrKB,331627,0.000822,0.168,0.591,0.265,0.919,-13.366,0.0604,153.292,0.238,7,1,20,The National
33,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),22,Vanderlyle Crybaby Geeks - Live at Berkeley 9/24/18,spotify:track:4dkfXFtbS8YGIcbAHuj1CV,270129,0.658,0.374,0.359,0.00211,0.951,-22.966,0.0788,83.164,0.218,9,4,21,The National
34,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),1,Light Years - Live at Berkeley 9/25/18,spotify:track:5iL4bDHWTuZBWa1HR5Aact,222562,0.025,0.375,0.257,0.041,0.405,-21.252,0.0519,133.718,0.386,4,4,18,The National
35,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),2,The System Only Dreams in Total Darkness - Live at Berkeley 9/25/18,spotify:track:5FXwHsWKh5MNBi9pXT8tVc,288008,0.00223,0.479,0.654,0.448,0.618,-13.985,0.154,114.035,0.347,10,4,19,The National
36,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),3,Walk It Back - Live at Berkeley 9/25/18,spotify:track:3HiTO6dXurOoMHqMvRUdYo,361685,0.0038,0.554,0.442,0.558,0.624,-12.956,0.0339,127.221,0.223,6,4,18,The National
37,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),4,Guilty Party - Live at Berkeley 9/25/18,spotify:track:1AnkbE3wl96P40A6JrDBZ5,382368,0.000722,0.317,0.678,0.644,0.791,-10.434,0.074,108.979,0.314,2,3,18,The National
38,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),5,I Should Live in Salt - Live at Berkeley 9/25/18,spotify:track:3zPZJ6cMYEoRhTfZfpNvC4,238300,0.00319,0.306,0.619,0.154,0.474,-10.33,0.0412,74.838,0.26,0,4,18,The National
39,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),6,Don't Swallow the Cap - Live at Berkeley 9/25/18,spotify:track:7u0MkTec8GzbN9eUsusPAL,344793,0.000636,0.316,0.63,0.0933,0.871,-10.298,0.0667,86.85,0.322,5,4,18,The National
40,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),7,Afraid of Everyone - Live at Berkeley 9/25/18,spotify:track:1VogoqwNcUYKnhaH4tLYvH,277510,0.00156,0.283,0.662,0.188,0.681,-10.569,0.0616,134.206,0.178,5,4,18,The National
41,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),8,I Need My Girl - Live at Berkeley 9/25/18,spotify:track:6yQGCANUmADtaWMfM2XATW,252418,0.0135,0.512,0.402,0.00353,0.649,-13.982,0.0334,123.443,0.168,0,4,17,The National
42,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),9,This Is the Last Time - Live at Berkeley 9/25/18,spotify:track:3fV8LGYxmjsIlzvmAzXZWQ,294031,0.00134,0.327,0.593,0.0566,0.984,-12.125,0.0506,74.864,0.351,0,4,18,The National
43,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),10,Wasp Nest - Live at Berkeley 9/25/18,spotify:track:5vag7TQepXQpzdNtCX3Bhc,272747,0.0299,0.394,0.255,0.167,0.925,-21.641,0.0467,79.05,0.11,5,4,17,The National
44,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),11,Born to Beg - Live at Berkeley 9/25/18,spotify:track:5KPJzRfswIsyuJ2tnweavx,393294,0.0862,0.301,0.373,0.0951,0.443,-20.549,0.171,81.317,0.21,10,4,16,The National
45,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),12,Sorrow - Live at Berkeley 9/25/18,spotify:track:3kINNL1XuZa6SJ0jtrvuhi,317085,0.001,0.351,0.434,0.0388,0.619,-15.707,0.056,120.885,0.189,9,4,16,The National
46,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),13,Apartment Story - Live at Berkeley 9/25/18,spotify:track:01vngKBsV9VzZDsGu8FuDZ,278894,0.00983,0.266,0.494,0.0605,0.62,-13.065,0.0486,69.002,0.219,4,4,16,The National
47,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),14,Pink Rabbits - Live at Berkeley 9/25/18,spotify:track:4lFvUK13lKzkSI6AJuUUso,266553,0.00157,0.32,0.41,0.0289,0.698,-14.081,0.0386,116.414,0.18,9,4,18,The National
48,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),15,England - Live at Berkeley 9/25/18,spotify:track:1vqZ6Lza85ENA860s8vtCs,324191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,The National
49,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),16,Day I Die - Live at Berkeley 9/25/18,spotify:track:6zNhBOR5BMnf3LL8TquEhX,293500,0.000736,0.341,0.743,0.63,0.957,-11.938,0.0906,144.863,0.278,2,4,16,The National
50,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),17,Rylan - Live at Berkeley 9/25/18,spotify:track:1OkQKYxQvDFRzgK1xTcREz,404331,0.00579,0.553,0.647,0.559,0.907,-13.762,0.0583,144.43,0.564,11,4,16,The National
51,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),18,Fake Empire - Live at Berkeley 9/25/18,spotify:track:6tVsMgVQQ3O3VqprWyvIk5,239148,0.000453,0.287,0.544,0.365,0.961,-12.574,0.042,103.252,0.161,0,3,16,The National
52,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),19,About Today - Live at Berkeley 9/25/18,spotify:track:5hsPPxKHj233fpo5fbgLlc,857933,0.0476,0.255,0.409,0.205,0.453,-18.082,0.0949,108.174,0.0858,0,4,17,The National
53,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),20,Lemonworld - Live at Berkeley 9/25/18,spotify:track:6UhK0Qm54mRRbw2TzMkpQh,272358,0.00689,0.529,0.574,0.541,0.211,-13.439,0.0623,127.661,0.199,1,4,15,The National
54,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),21,Mr. November - Live at Berkeley 9/25/18,spotify:track:4eiEDinOOO5Hq5d6KXa5rZ,309440,0.000523,0.225,0.59,0.578,0.738,-11.618,0.0549,145.552,0.155,7,4,15,The National
55,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),22,Terrible Love - Live at Berkeley 9/25/18,spotify:track:59IlLOD2S7Qu3J5SzIJhbt,321584,0.000201,0.154,0.645,0.613,0.736,-11.512,0.0566,81.118,0.207,7,4,15,The National
56,Juicy Sonic Magic (Live in Berkeley September 24-25 2018),23,Vanderlyle Crybaby Geeks - Live at Berkeley 9/25/18,spotify:track:3ECHZ1BgUDIffQevCgQaV1,294309,0.684,0.375,0.413,0.00255,0.948,-22.448,0.0884,81.316,0.182,9,4,16,The National
57,I Am Easy to Find,1,You Had Your Soul With You,spotify:track:5cBrqDgmdbgH6ncuy1hGDs,206280,0.0194,0.521,0.777,0.0953,0.0865,-5.823,0.0878,154.015,0.278,5,4,51,The National
58,I Am Easy to Find,2,Quiet Light,spotify:track:0kje3SpbIHS7SoEk6QG5xn,255280,0.201,0.625,0.883,0.885,0.118,-6.99,0.0485,105.994,0.355,11,4,47,The National
59,I Am Easy to Find,3,Roman Holiday,spotify:track:7y3sR3xXDSls1GPYGoJ312,214786,0.641,0.533,0.463,0.376,0.213,-10.956,0.0698,155.067,0.383,6,4,41,The National
60,I Am Easy to Find,4,Oblivions,spotify:track:5qi2iUTdb6wMuaSembt71H,253986,0.89,0.479,0.549,0.0254,0.111,-8.852,0.0458,130.074,0.164,6,4,46,The National
61,I Am Easy to Find,5,The Pull Of You,spotify:track:1z3zD1U8ZYmoILMZWE3kZF,238640,0.402,0.376,0.819,0.0575,0.114,-6.473,0.161,138.476,0.288,0,4,42,The National
62,I Am Easy to Find,6,Hey Rosey,spotify:track:4sJ48xoHPUcgWPrsvpnNrp,254106,0.647,0.63,0.608,0.17,0.165,-7.975,0.0347,131.062,0.237,0,4,41,The National
63,I Am Easy to Find,7,I Am Easy To Find,spotify:track:6RhmpJYWxzJu16nLgd8lZD,270586,0.931,0.484,0.372,0.448,0.244,-11.411,0.0317,133.857,0.193,11,4,46,The National
64,I Am Easy to Find,8,Her Father In The Pool,spotify:track:2Tg6GoNk1AucN8Zb57elx3,62520,0.995,0.317,0.123,0.956,0.1,-22.737,0.062,71.869,0.0383,4,3,38,The National
65,I Am Easy to Find,9,Where Is Her Head,spotify:track:7feLRaxYCAznOMuFVgJluq,281613,0.138,0.525,0.855,0.692,0.061,-5.336,0.0546,95.965,0.218,1,4,44,The National
